ID,Income,Kidhome,Teenhome,Recency,Age,Customer_Days,marital_Divorced,marital_Married,marital_Single,marital_Together,marital_Widow,education_2n Cycle,education_Basic,education_Graduation,education_Master,education_PhD,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,Complain,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,AcceptedCmpOverall,Z_CostContact,Z_Revenue,MntRegularProds,MntTotal,,,
11,"R$ 7,500.00",0,0,59,44,2752,0,1,0,0,0,0,1,0,0,0,6,16,11,11,1,16,1,2,0,3,0,8,0,0,0,0,0,0,0,3,11,R$ 29.00,R$ 45.00,,,
12,"R$ 63,033.00",0,0,82,61,2385,1,0,0,0,0,0,0,1,0,0,194,61,480,225,112,30,1,3,4,8,0,2,0,0,0,0,0,0,0,3,11,"R$ 1,042.00","R$ 1,072.00",,,
13,"R$ 59,354.00",1,1,53,68,2385,1,0,0,0,0,0,0,0,1,0,233,2,53,3,5,14,3,6,1,5,0,6,0,0,0,0,0,0,0,3,11,R$ 282.00,R$ 296.00,,,
14,"R$ 17,323.00",0,0,38,33,2786,0,1,0,0,0,0,0,1,0,0,3,14,17,6,1,5,1,1,0,3,0,8,0,0,0,0,0,0,0,3,11,R$ 36.00,R$ 41.00,,,
15,"R$ 82,800.00",0,0,23,74,2741,0,0,1,0,0,0,0,0,0,1,1006,22,115,59,68,45,1,7,6,12,0,3,0,0,1,1,0,1,2,3,11,"R$ 1,225.00","R$ 1,270.00",,,
16,"R$ 41,850.00",1,1,51,40,2711,0,1,0,0,0,0,0,1,0,0,53,5,19,2,13,4,3,3,0,3,0,8,0,0,0,0,0,0,0,3,11,R$ 88.00,R$ 92.00,,,
17,"R$ 37,760.00",0,0,20,74,2826,0,0,0,1,0,0,0,1,0,0,84,5,38,150,12,28,2,4,1,6,0,7,0,0,0,0,0,0,0,3,11,R$ 261.00,R$ 289.00,,,
18,"R$ 76,995.00",0,1,91,71,2617,0,1,0,0,0,0,0,0,1,0,1012,80,498,0,16,176,2,11,4,9,0,5,0,0,0,1,0,0,1,3,11,"R$ 1,430.00","R$ 1,606.00",,,
19,"R$ 33,812.00",1,0,86,35,2762,0,0,1,0,0,1,0,0,0,0,4,17,19,30,24,39,2,2,1,3,0,6,0,0,0,0,0,0,0,3,11,R$ 55.00,R$ 94.00,,,
20,"R$ 37,040.00",0,0,41,38,2849,0,1,0,0,0,0,0,1,0,0,86,2,73,69,38,48,1,4,2,5,0,8,0,0,0,0,0,0,0,3,11,R$ 220.00,R$ 268.00,,,
21,"R$ 2,447.00",1,0,42,41,2698,0,1,0,0,0,0,0,1,0,0,1,1,1725,1,1,1,15,0,28,0,0,1,0,0,0,0,0,0,0,3,11,"R$ 1,728.00","R$ 1,729.00",,,
22,"R$ 58,607.00",0,1,63,71,2712,0,1,0,0,0,0,0,0,0,1,867,0,86,0,0,19,3,2,3,9,0,8,0,1,0,0,0,0,1,3,11,R$ 934.00,R$ 953.00,,,
23,"R$ 65,324.00",0,1,0,66,2328,0,1,0,0,0,0,0,0,0,1,384,0,102,21,32,5,3,6,2,9,0,4,0,0,0,0,0,0,0,3,11,R$ 534.00,R$ 539.00,,,
24,"R$ 40,689.00",0,1,69,69,2627,0,0,0,1,0,0,0,1,0,0,270,3,27,39,6,99,7,7,1,5,0,8,0,0,0,0,0,0,0,3,11,R$ 246.00,R$ 345.00,,,
25,"R$ 18,589.00",0,0,89,51,2702,0,0,1,0,0,0,0,1,0,0,6,4,25,15,12,13,2,2,1,3,0,7,0,0,0,0,0,0,0,3,11,R$ 49.00,R$ 62.00,,,
26,"R$ 53,359.00",1,1,4,44,2557,0,1,0,0,0,0,0,1,0,0,173,4,30,3,6,41,4,5,1,4,0,7,0,0,0,0,0,0,0,3,11,R$ 175.00,R$ 216.00,,,
27,"R$ 38,360.00",1,0,26,31,2553,0,1,0,0,0,0,0,1,0,0,36,2,42,20,21,10,2,2,1,4,0,3,0,0,0,0,0,0,0,3,11,R$ 111.00,R$ 121.00,,,
28,"R$ 84,618.00",0,0,96,55,2378,0,1,0,0,0,0,0,0,0,1,684,100,801,21,66,0,1,6,9,10,0,2,0,0,1,0,0,0,1,3,11,"R$ 1,672.00","R$ 1,672.00",,,
29,"R$ 10,979.00",0,0,34,31,2197,1,0,0,0,0,0,0,0,1,0,8,4,10,2,2,4,2,3,0,3,0,5,0,0,0,0,0,0,0,3,11,R$ 22.00,R$ 26.00,,,
30,"R$ 38,620.00",0,0,56,57,2573,0,0,0,1,0,0,0,0,1,0,112,17,44,34,22,89,1,2,5,3,0,3,0,0,0,0,0,0,0,3,11,R$ 140.00,R$ 229.00,,,
31,"R$ 40,548.00",0,1,31,50,2786,0,0,0,1,0,0,0,1,0,0,110,0,5,2,0,3,2,2,1,4,0,5,0,1,0,0,0,0,1,3,11,R$ 114.00,R$ 117.00,,,
32,"R$ 46,610.00",0,2,8,68,2767,1,0,0,0,0,0,0,0,0,1,96,12,96,33,22,43,6,4,1,6,0,6,0,0,0,0,0,1,0,3,11,R$ 216.00,R$ 259.00,,,
33,"R$ 68,657.00",0,0,4,74,2653,0,1,0,0,0,0,0,0,1,0,482,34,471,119,68,22,1,3,5,9,0,7,0,0,0,0,0,0,0,3,11,"R$ 1,152.00","R$ 1,174.00",,,
34,"R$ 49,389.00",1,1,55,69,2463,0,0,1,0,0,0,0,0,1,0,40,0,19,2,1,3,1,2,0,3,0,7,0,0,0,0,0,0,0,3,11,R$ 59.00,R$ 62.00,,,
35,"R$ 67,353.00",0,1,37,50,2339,0,1,0,0,0,0,0,0,0,1,702,17,151,0,8,35,5,5,6,12,0,2,0,0,0,0,0,0,0,3,11,R$ 843.00,R$ 878.00,,,
36,"R$ 23,718.00",1,0,76,44,2459,0,1,0,0,0,1,0,0,0,0,6,3,14,15,7,36,3,3,1,2,0,7,0,0,0,0,0,0,0,3,11,R$ 9.00,R$ 45.00,,,
37,"R$ 42,429.00",0,1,99,47,2297,0,0,0,0,1,0,0,1,0,0,55,0,6,2,0,4,2,1,1,3,0,5,0,0,0,0,0,0,0,3,11,R$ 59.00,R$ 63.00,,,
38,"R$ 48,948.00",0,0,53,77,2672,1,0,0,0,0,0,0,0,0,1,437,8,206,160,49,42,2,7,10,5,0,6,1,0,0,0,0,1,1,3,11,R$ 818.00,R$ 860.00,,,
39,"R$ 80,011.00",0,1,3,40,2585,0,1,0,0,0,0,0,1,0,0,421,76,536,82,178,102,2,8,6,5,0,4,0,0,0,0,0,0,0,3,11,"R$ 1,191.00","R$ 1,293.00",,,
40,"R$ 20,559.00",1,0,88,35,2633,0,1,0,0,0,0,0,0,1,0,13,1,29,3,0,7,2,2,0,3,0,8,0,0,0,0,0,0,0,3,11,R$ 39.00,R$ 46.00,,,
41,"R$ 21,994.00",0,1,4,63,2711,0,0,0,1,0,0,0,1,0,0,9,0,6,3,1,3,1,0,0,3,0,5,0,0,0,0,0,0,0,3,11,R$ 16.00,R$ 19.00,,,
42,"R$ 7,500.00",1,0,19,45,2429,0,1,0,0,0,0,0,0,1,0,3,1,10,3,2,12,3,2,0,3,0,5,0,0,0,0,0,0,0,3,11,R$ 7.00,R$ 19.00,,,
43,"R$ 79,941.00",0,0,72,44,2160,0,0,1,0,0,0,0,1,0,0,123,164,266,227,30,174,1,2,4,9,0,1,0,0,0,0,0,0,0,3,11,R$ 636.00,R$ 810.00,,,
44,"R$ 7,500.00",0,0,24,24,2756,0,1,0,0,0,1,0,0,0,0,3,18,14,15,22,50,3,3,1,3,0,9,0,0,0,0,0,1,0,3,11,R$ 22.00,R$ 72.00,,,
45,"R$ 41,728.00",1,0,92,52,2560,0,0,0,1,0,0,0,1,0,0,13,6,15,3,5,13,1,2,0,2,0,10,0,0,0,0,0,0,0,3,11,R$ 29.00,R$ 42.00,,,
46,"R$ 72,550.00",1,1,39,66,2757,0,1,0,0,0,0,0,0,0,1,826,50,317,50,38,38,9,5,2,12,0,8,0,0,0,0,0,0,0,3,11,"R$ 1,243.00","R$ 1,281.00",,,
47,"R$ 65,486.00",0,1,29,63,2207,0,0,0,0,1,0,0,1,0,0,245,19,125,37,67,14,1,4,2,10,0,2,0,0,0,0,0,0,0,3,11,R$ 479.00,R$ 493.00,,,
48,"R$ 79,143.00",0,0,2,56,2846,0,1,0,0,0,0,0,0,1,0,650,37,780,27,167,32,1,6,9,13,0,3,0,0,0,0,0,0,0,3,11,"R$ 1,629.00","R$ 1,661.00",,,
49,"R$ 35,790.00",1,0,54,43,2702,0,0,1,0,0,0,0,1,0,0,12,6,20,30,1,3,2,2,0,3,0,7,0,0,0,0,0,0,0,3,11,R$ 66.00,R$ 69.00,,,
50,"R$ 82,582.00",0,0,54,43,2181,1,0,0,0,0,0,0,1,0,0,510,120,550,156,40,241,1,4,9,7,0,1,1,0,0,1,0,1,2,3,11,"R$ 1,135.00","R$ 1,376.00",,,
51,"R$ 66,373.00",1,1,57,42,2541,0,1,0,0,0,0,0,1,0,0,328,9,124,12,24,109,7,4,2,10,0,3,0,0,0,0,0,0,0,3,11,R$ 388.00,R$ 497.00,,,
52,"R$ 82,384.00",0,0,55,65,2746,0,0,0,1,0,0,0,0,1,0,984,51,432,180,120,190,1,3,10,13,0,1,0,0,1,0,0,1,1,3,11,"R$ 1,577.00","R$ 1,767.00",,,
53,"R$ 70,287.00",0,0,30,54,2612,1,0,0,0,0,0,0,1,0,0,295,35,482,121,120,40,1,5,5,10,0,3,0,0,0,0,0,1,0,3,11,"R$ 1,013.00","R$ 1,053.00",,,
54,"R$ 27,938.00",1,0,31,32,2221,0,0,1,0,0,0,0,1,0,0,13,0,8,2,1,5,1,1,0,4,0,3,0,0,0,0,0,0,0,3,11,R$ 19.00,R$ 24.00,,,
55,"R$ 55,954.00",0,1,63,52,2277,0,1,0,0,0,0,0,0,0,1,447,0,28,0,0,43,3,8,2,6,0,7,0,0,0,0,0,0,0,3,11,R$ 432.00,R$ 475.00,,,
56,"R$ 75,777.00",0,0,12,38,2519,0,0,1,0,0,0,0,0,1,0,712,26,538,69,13,80,1,3,6,11,0,1,0,1,1,0,0,1,2,3,11,"R$ 1,278.00","R$ 1,358.00",,,
57,"R$ 66,653.00",1,1,18,45,2819,0,0,0,1,0,0,0,1,0,0,452,18,102,16,18,6,4,4,2,12,0,3,0,0,0,0,0,0,0,3,11,R$ 600.00,R$ 606.00,,,
58,"R$ 61,823.00",0,1,26,68,2655,0,0,1,0,0,0,0,1,0,0,523,7,134,37,14,169,4,8,2,10,0,7,0,0,0,0,0,0,0,3,11,R$ 546.00,R$ 715.00,,,
59,"R$ 67,680.00",0,1,8,69,2542,0,0,0,0,1,0,0,0,0,1,546,0,48,0,6,6,1,7,3,8,0,5,0,0,0,0,0,0,0,3,11,R$ 594.00,R$ 600.00,,,
60,"R$ 70,666.00",0,0,29,72,2364,0,0,0,1,0,0,0,1,0,0,398,40,367,119,122,30,1,7,4,4,0,4,0,0,0,0,0,0,0,3,11,"R$ 1,016.00","R$ 1,046.00",,,
61,"R$ 25,721.00",1,0,75,49,2563,0,1,0,0,0,0,0,1,0,0,1,3,6,3,6,15,1,1,1,2,0,7,0,0,0,0,0,1,0,3,11,R$ 4.00,R$ 19.00,,,
62,"R$ 32,474.00",1,1,0,53,2208,0,0,0,1,0,0,0,1,0,0,10,0,1,0,0,0,1,1,0,2,0,7,0,0,0,0,0,0,0,3,11,R$ 11.00,R$ 11.00,,,
63,"R$ 88,194.00",0,1,19,41,2261,0,0,1,0,0,1,0,0,0,0,688,14,309,201,24,38,1,11,10,10,0,5,1,0,0,1,0,1,2,3,11,"R$ 1,198.00","R$ 1,236.00",,,
64,"R$ 69,096.00",0,1,4,62,2434,0,0,0,1,0,0,0,1,0,0,247,49,159,7,82,109,1,5,2,10,0,4,0,0,0,0,0,0,0,3,11,R$ 435.00,R$ 544.00,,,
65,"R$ 74,854.00",1,2,90,50,2606,0,0,0,1,0,0,0,1,0,0,856,59,487,58,29,73,7,2,5,5,0,5,0,0,0,0,0,0,0,3,11,"R$ 1,416.00","R$ 1,489.00",,,
66,"R$ 66,991.00",0,0,1,66,2815,0,1,0,0,0,0,0,0,1,0,496,36,460,189,60,12,3,4,8,6,0,3,0,0,0,0,0,0,0,3,11,"R$ 1,229.00","R$ 1,241.00",,,
67,"R$ 65,031.00",0,1,29,61,2628,0,1,0,0,0,0,0,1,0,0,258,107,291,84,37,86,4,10,3,13,0,7,0,0,0,0,0,0,0,3,11,R$ 691.00,R$ 777.00,,,
68,"R$ 60,631.00",1,1,88,45,2609,0,1,0,0,0,0,0,0,0,1,565,6,65,0,6,19,5,9,2,8,0,7,0,1,0,0,0,0,1,3,11,R$ 623.00,R$ 642.00,,,
69,"R$ 28,332.00",0,0,58,68,2219,0,1,0,0,0,0,0,1,0,0,14,10,13,4,15,9,1,2,1,4,0,2,0,0,0,0,0,0,0,3,11,R$ 47.00,R$ 56.00,,,
70,"R$ 40,246.00",1,0,68,43,2716,1,0,0,0,0,0,0,1,0,0,2,1,6,2,1,1,1,1,0,2,0,6,0,0,0,0,0,0,0,3,11,R$ 11.00,R$ 12.00,,,
71,"R$ 75,251.00",0,0,34,48,2830,0,1,0,0,0,0,0,0,1,0,721,111,925,97,18,18,1,7,6,5,0,5,0,0,0,0,0,1,0,3,11,"R$ 1,854.00","R$ 1,872.00",,,
72,"R$ 75,825.00",0,0,40,44,2784,0,0,1,0,0,0,0,1,0,0,1032,105,779,137,105,51,0,5,8,9,0,4,1,0,0,0,0,1,1,3,11,"R$ 2,107.00","R$ 2,158.00",,,
73,"R$ 26,326.00",0,0,12,44,2457,0,0,0,1,0,1,0,0,0,0,1,0,5,0,3,9,1,0,0,3,1,3,0,0,0,0,0,0,0,3,11,R$ 0.00,R$ 9.00,,,
74,"R$ 56,046.00",0,0,9,55,2702,0,0,0,1,0,0,0,1,0,0,577,0,64,0,0,51,2,10,1,8,0,8,1,0,0,0,0,1,1,3,11,R$ 590.00,R$ 641.00,,,
75,"R$ 29,760.00",1,0,87,35,2828,0,0,1,0,0,0,0,1,0,0,64,4,68,7,5,17,4,3,1,4,0,8,0,0,0,0,0,0,0,3,11,R$ 131.00,R$ 148.00,,,
76,"R$ 26,304.00",1,0,5,51,2530,0,1,0,0,0,0,0,1,0,0,4,1,5,2,0,4,1,1,0,2,0,7,0,0,0,0,0,0,0,3,11,R$ 8.00,R$ 12.00,,,
77,"R$ 23,559.00",1,0,87,47,2520,0,1,0,0,0,1,0,0,0,0,25,5,19,7,0,23,3,3,0,3,0,7,0,0,0,0,0,0,0,3,11,R$ 33.00,R$ 56.00,,,
78,"R$ 38,620.00",0,0,56,57,2573,0,0,0,1,0,0,0,0,1,0,112,17,44,34,22,89,1,2,5,3,0,3,0,0,0,0,0,0,0,3,11,R$ 140.00,R$ 229.00,,,
79,"R$ 81,361.00",0,0,18,33,2283,1,0,0,0,0,0,0,1,0,0,163,23,424,27,65,76,1,3,10,13,0,1,0,0,0,0,0,0,0,3,11,R$ 626.00,R$ 702.00,,,
80,"R$ 29,440.00",1,1,95,60,2481,0,1,0,0,0,0,0,1,0,0,17,8,14,10,4,3,2,1,0,4,0,7,0,0,0,0,0,0,0,3,11,R$ 50.00,R$ 53.00,,,
81,"R$ 36,138.00",1,1,48,50,2507,0,1,0,0,0,0,0,0,1,0,130,0,16,0,0,5,5,3,1,4,0,7,0,1,0,0,0,0,1,3,11,R$ 141.00,R$ 146.00,,,
82,"R$ 50,388.00",0,1,3,63,2191,0,0,1,0,0,0,0,1,0,0,292,6,37,0,3,34,4,6,1,6,0,7,0,1,0,1,0,1,2,3,11,R$ 304.00,R$ 338.00,,,
83,"R$ 79,593.00",0,0,70,47,2207,0,1,0,0,0,0,0,1,0,0,350,60,568,110,133,145,1,5,6,7,0,2,0,0,1,0,0,0,1,3,11,"R$ 1,076.00","R$ 1,221.00",,,
84,"R$ 54,178.00",0,1,79,53,2318,0,0,0,1,0,0,0,1,0,0,135,9,39,4,0,7,1,2,2,5,0,2,0,0,0,0,0,0,0,3,11,R$ 180.00,R$ 187.00,,,
85,"R$ 42,394.00",1,0,69,48,2257,0,0,1,0,0,0,0,0,1,0,15,2,10,0,1,4,1,1,0,3,0,7,0,0,0,0,0,0,0,3,11,R$ 24.00,R$ 28.00,,,
86,"R$ 23,626.00",1,0,84,50,2195,0,1,0,0,0,0,0,0,0,1,27,2,14,0,0,0,3,3,1,3,0,5,0,0,0,0,0,0,0,3,11,R$ 43.00,R$ 43.00,,,
87,"R$ 30,096.00",1,0,30,37,2197,0,1,0,0,0,0,0,1,0,0,5,3,11,12,5,9,1,2,0,3,0,6,0,0,0,0,0,0,0,3,11,R$ 27.00,R$ 36.00,,,
88,"R$ 47,916.00",0,1,72,60,2743,0,0,0,0,1,0,0,1,0,0,505,0,26,0,0,75,5,7,4,6,0,6,0,1,0,0,0,0,1,3,11,R$ 456.00,R$ 531.00,,,
89,"R$ 51,813.00",1,1,37,48,2603,1,0,0,0,0,0,0,1,0,0,51,2,7,0,1,2,2,2,0,3,0,7,0,0,0,0,0,0,0,3,11,R$ 59.00,R$ 61.00,,,
90,"R$ 78,497.00",0,0,44,69,2369,0,1,0,0,0,1,0,0,0,0,207,26,447,75,0,223,1,5,7,12,0,2,0,0,0,1,0,0,1,3,11,R$ 532.00,R$ 755.00,,,
91,"R$ 50,150.00",0,0,32,37,2533,0,1,0,0,0,0,0,0,0,1,135,46,92,65,61,11,2,5,2,7,0,5,0,0,0,0,0,0,0,3,11,R$ 388.00,R$ 399.00,,,
92,"R$ 47,823.00",0,1,0,60,2500,0,0,1,0,0,1,0,0,0,0,53,1,5,2,1,10,2,2,0,3,0,8,0,0,0,0,0,0,0,3,11,R$ 52.00,R$ 62.00,,,
93,"R$ 34,554.00",0,1,43,61,2250,0,0,1,0,0,0,0,0,0,1,41,1,6,2,0,5,2,2,0,3,0,6,0,0,0,0,0,0,0,3,11,R$ 45.00,R$ 50.00,,,
94,"R$ 85,693.00",0,1,59,41,2594,0,0,0,1,0,0,0,1,0,0,386,172,183,185,132,111,2,9,5,11,0,5,0,0,0,0,0,0,0,3,11,R$ 947.00,"R$ 1,058.00",,,
95,"R$ 65,846.00",0,0,68,75,2567,0,1,0,0,0,0,0,0,0,1,562,81,276,80,40,81,1,6,3,6,0,4,0,0,0,0,0,0,0,3,11,R$ 958.00,"R$ 1,039.00",,,
96,"R$ 87,195.00",0,0,35,61,2211,0,1,0,0,0,0,0,1,0,0,217,76,690,50,26,38,1,3,11,5,0,1,0,0,0,0,0,1,0,3,11,"R$ 1,021.00","R$ 1,059.00",,,
97,"R$ 24,594.00",1,0,94,41,2360,0,0,0,1,0,0,1,0,0,0,1,3,6,10,0,9,1,1,0,3,0,5,0,0,0,0,0,0,0,3,11,R$ 11.00,R$ 20.00,,,
98,"R$ 49,096.00",1,1,15,56,2437,0,1,0,0,0,0,0,1,0,0,144,1,32,2,1,7,4,4,1,4,0,7,0,0,0,0,0,0,0,3,11,R$ 173.00,R$ 180.00,,,
99,"R$ 52,413.00",0,2,56,51,2671,0,1,0,0,0,0,0,1,0,0,295,106,271,75,98,65,4,6,4,12,0,6,0,0,0,0,0,0,0,3,11,R$ 780.00,R$ 845.00,,,
100,"R$ 38,557.00",1,0,17,42,2716,0,0,1,0,0,0,0,1,0,0,76,3,31,4,4,27,2,3,1,3,0,7,0,0,0,0,0,0,0,3,11,R$ 91.00,R$ 118.00,,,
101,"R$ 89,058.00",0,0,18,60,2728,0,1,0,0,0,0,0,0,1,0,454,194,106,31,22,43,1,5,4,4,0,2,0,0,0,0,0,0,0,3,11,R$ 764.00,R$ 807.00,,,
102,"R$ 77,298.00",0,1,46,41,2398,0,0,0,1,0,0,0,1,0,0,425,115,292,23,35,79,1,6,6,11,0,3,0,0,0,0,0,0,0,3,11,R$ 811.00,R$ 890.00,,,
103,"R$ 68,126.00",0,0,40,29,2755,0,0,1,0,0,0,0,0,0,1,1332,17,311,23,51,86,1,7,4,5,0,9,0,1,0,0,0,1,1,3,11,"R$ 1,648.00","R$ 1,734.00",,,
104,"R$ 57,288.00",0,1,27,57,2163,0,0,0,1,0,0,0,0,1,0,527,0,21,0,0,60,3,8,1,8,0,6,0,1,0,0,0,0,1,3,11,R$ 488.00,R$ 548.00,,,
105,"R$ 86,037.00",0,0,95,29,2702,0,0,1,0,0,0,0,1,0,0,490,44,125,29,20,22,1,6,7,11,0,3,0,1,1,0,0,1,2,3,11,R$ 686.00,R$ 708.00,,,
106,"R$ 43,974.00",1,0,19,40,2723,0,1,0,0,0,0,0,0,0,1,378,0,101,0,0,72,5,6,4,6,0,7,0,0,0,0,0,0,0,3,11,R$ 407.00,R$ 479.00,,,
107,"R$ 50,785.00",1,1,27,58,2451,0,0,1,0,0,0,0,1,0,0,64,1,21,0,1,27,2,2,1,3,0,6,0,0,0,0,0,0,0,3,11,R$ 60.00,R$ 87.00,,,
108,"R$ 90,765.00",0,0,25,50,2315,0,1,0,0,0,0,0,1,0,0,547,99,812,151,82,33,0,4,6,5,0,1,0,0,1,1,0,0,2,3,11,"R$ 1,658.00","R$ 1,691.00",,,
109,"R$ 36,550.00",1,0,74,42,2654,0,1,0,0,0,1,0,0,0,0,47,90,94,123,103,120,5,9,1,5,0,9,0,0,0,0,0,0,0,3,11,R$ 337.00,R$ 457.00,,,
110,"R$ 30,753.00",1,1,85,53,2512,0,0,0,1,0,1,0,0,0,0,12,5,25,0,9,30,2,1,1,3,0,5,0,0,0,0,0,0,0,3,11,R$ 21.00,R$ 51.00,,,
111,"R$ 21,918.00",1,0,37,51,2386,0,0,0,1,0,0,0,1,0,0,1,6,7,11,5,3,2,2,0,3,0,6,0,0,0,0,0,0,0,3,11,R$ 27.00,R$ 30.00,,,
112,"R$ 56,129.00",0,1,65,67,2533,0,0,0,1,0,0,0,0,1,0,320,48,133,39,72,48,4,6,2,10,0,4,0,0,0,0,0,0,0,3,11,R$ 564.00,R$ 612.00,,,
113,"R$ 32,557.00",1,0,13,53,2284,0,0,1,0,0,0,0,0,1,0,34,3,29,0,4,10,3,2,1,3,0,5,0,0,0,0,0,1,0,3,11,R$ 60.00,R$ 70.00,,,
114,"R$ 19,510.00",2,0,63,35,2457,0,1,0,0,0,0,0,0,1,0,9,0,7,3,4,7,2,1,0,3,0,7,0,0,0,0,0,0,0,3,11,R$ 16.00,R$ 23.00,,,
115,"R$ 30,992.00",1,0,83,44,2592,1,0,0,0,0,0,0,1,0,0,17,0,14,7,3,2,1,1,0,3,0,7,0,0,0,0,0,0,0,3,11,R$ 39.00,R$ 41.00,,,
116,"R$ 101,970.00",0,0,69,37,2633,0,0,1,0,0,0,0,1,0,0,722,27,102,44,72,168,0,6,8,13,0,2,0,1,1,1,0,1,3,3,11,R$ 799.00,R$ 967.00,,,
117,"R$ 71,488.00",0,0,87,55,2655,0,0,0,1,0,1,0,0,0,0,162,33,124,40,28,172,2,3,4,7,0,1,0,0,0,0,0,0,0,3,11,R$ 215.00,R$ 387.00,,,
118,"R$ 79,607.00",0,0,37,36,2593,0,0,1,0,0,0,0,1,0,0,450,133,951,173,0,216,1,3,6,6,0,1,0,0,0,0,0,1,0,3,11,"R$ 1,491.00","R$ 1,707.00",,,
119,"R$ 54,348.00",1,1,51,67,2180,0,1,0,0,0,0,0,0,1,0,70,0,16,0,0,4,2,2,0,4,0,6,0,0,0,0,0,0,0,3,11,R$ 82.00,R$ 86.00,,,
120,"R$ 77,376.00",1,1,72,64,2209,0,0,0,1,0,0,0,0,0,1,492,19,110,16,12,12,4,6,3,10,0,4,0,0,0,0,0,0,0,3,11,R$ 637.00,R$ 649.00,,,
121,"R$ 62,998.00",0,1,10,68,2431,0,1,0,0,0,0,0,1,0,0,120,58,73,65,89,58,5,5,4,5,0,5,0,0,0,0,0,0,0,3,11,R$ 347.00,R$ 405.00,,,
122,"R$ 61,331.00",1,1,42,62,2635,0,0,1,0,0,0,0,0,1,0,534,5,47,0,5,41,5,11,1,6,0,8,0,0,0,0,0,0,0,3,11,R$ 550.00,R$ 591.00,,,
123,"R$ 73,448.00",0,0,10,51,2298,0,1,0,0,0,0,0,1,0,0,236,106,189,23,41,130,1,7,2,9,0,4,0,0,0,0,0,0,0,3,11,R$ 465.00,R$ 595.00,,,
124,"R$ 41,551.00",1,1,51,56,2478,0,1,0,0,0,0,0,0,0,1,220,0,33,3,0,23,5,5,1,5,0,8,0,0,0,0,0,0,0,3,11,R$ 233.00,R$ 256.00,,,
125,"R$ 62,981.00",0,0,21,53,2628,0,0,0,1,0,0,0,0,0,1,796,14,590,38,44,0,1,4,5,13,0,3,0,1,0,0,0,0,1,3,11,"R$ 1,482.00","R$ 1,482.00",,,
